PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Mag_X,Mag_Y,Mag_Z,Status
178,234222616,0.999823878553646,0.014087,0.007537,0.009847,0.046564,0.100533,0.071456,-0.067627,-0.645020,-0.767090,0
179,234239283,0.999865799619591,0.012077,0.005573,0.009563,0.042436,0.101309,0.066536,-0.064453,-0.668213,-0.756592,0
180,234255950,0.999898424329053,0.009921,0.003455,0.009632,0.043742,0.108305,0.055655,-0.066162,-0.692627,-0.745605,0
181,234272617,0.999927238511825,0.006811,0.001608,0.009826,0.041151,0.113684,0.047822,-0.068604,-0.708984,-0.737061,0
182,234289284,0.999936800465309,0.005658,-0.000185,0.009714,0.044966,0.113813,0.051405,-0.077881,-0.721191,-0.733643,0
183,234305951,0.999943880698310,0.004907,-0.001927,0.009189,0.047476,0.146673,0.059494,-0.092285,-0.731934,-0.724609,0
184,234322618,0.999959533794657,0.001707,-0.003455,0.008129,0.049393,0.150842,0.064207,-0.102051,-0.737305,-0.724609,0
185,234339285,0.999965423068922,-0.000279,-0.005006,0.006634,0.060498,0.147121,0.073152,-0.117920,-0.741699,-0.729004,0
186,234355952,0.999959356088165,-0.003079,-0.006701,0.005187,0.074768,0.160350,0.094927,-0.133057,-0.737305,-0.728760,0
187,234372619,0.999944056272116,-0.004882,-0.008516,0.003940,0.086523,0.169014,0.107936,-0.151367,-0.727783,-0.732178,0
188,234389286,0.999953696194035,-0.004554,-0.008033,0.002709,0.108357,0.187870,0.109793,-0.169189,-0.719971,-0.742188,0
189,234405953,0.999978172246401,-0.004092,-0.005165,0.000483,0.109046,0.191899,0.117302,-0.183838,-0.713135,-0.749023,0
190,234422620,0.999986325730627,-0.004546,-0.002385,-0.000995,0.127992,0.210352,0.119747,-0.187500,-0.706543,-0.752197,0
191,234439287,0.999942449457809,-0.010680,-0.000386,-0.000945,0.134384,0.227921,0.134008,-0.191895,-0.690918,-0.763672,0
192,234455954,0.999806952344019,-0.019598,-0.000591,-0.001277,0.133261,0.216479,0.144490,-0.190674,-0.659912,-0.777100,0
193,234472621,0.999556254263760,-0.029684,-0.000756,-0.002362,0.127404,0.169925,0.114852,-0.194092,-0.605713,-0.805664,0
194,234489288,0.999438099415462,-0.033360,0.001440,-0.002923,0.126326,0.102963,0.081365,-0.189209,-0.544678,-0.832520,0
195,234505955,0.999451453573426,-0.032735,0.004230,-0.002701,0.119180,0.037451,0.079087,-0.184814,-0.478760,-0.854980,0
196,234522622,0.999632368278334,-0.026413,0.005693,-0.002255,0.095194,-0.008881,0.097504,-0.173340,-0.424072,-0.875000,0
197,234539289,0.999671383339890,-0.024732,0.006467,-0.001912,0.075955,-0.046905,0.107011,-0.162354,-0.370850,-0.883057,0
198,234555956,0.999651452572437,-0.025699,0.005950,-0.001059,0.073184,-0.067597,0.117015,-0.150879,-0.321533,-0.891846,0
199,234572623,0.999655435868290,-0.025736,0.005161,-0.000143,0.065123,-0.107416,0.120409,-0.140381,-0.270264,-0.897705,0
200,234589290,0.999785897193527,-0.020364,0.003304,0.001591,0.061052,-0.133213,0.128636,-0.133301,-0.224365,-0.900391,0
201,234605957,0.999862178502250,-0.016108,0.002309,0.003288,0.055545,-0.157255,0.118730,-0.127686,-0.189209,-0.901855,0
202,234622624,0.999955594433830,-0.008553,0.001011,0.003825,0.043784,-0.149732,0.122910,-0.126221,-0.166016,-0.905518,0
203,234639291,0.999986404301397,-0.002048,-0.001037,0.004682,0.039718,-0.135102,0.130205,-0.128662,-0.159668,-0.906982,0
204,234655958,0.999970878464167,0.004291,-0.002871,0.005620,0.046922,-0.139760,0.131518,-0.132568,-0.164551,-0.906494,0
205,234672625,0.999898702267241,0.011855,-0.005118,0.005987,0.061004,-0.119613,0.125232,-0.139404,-0.188721,-0.902344,0
206,234689292,0.999828074153409,0.016659,-0.005661,0.005853,0.080302,-0.083837,0.126011,-0.153564,-0.217773,-0.904297,0
207,234705959,0.999772688091420,0.019836,-0.005567,0.005486,0.096843,-0.032572,0.141014,-0.163574,-0.257812,-0.904785,0
